Steps,Distance
2,1.2778174593052014
2,1.2737734478532134
2,1.2323520916159043
2,1.320913899932317
2,1.1444841259718683
2,1.2794925436950073
2,1.1249579113843047
2,1.1973436738927647
2,1.0714045207910312
2,1.3111507926385348
3,1.6502192602916064
3,1.537487059916603
3,1.6895639232082376
3,1.6277605243332482
3,1.72590292133322
3,1.6847006554165602
3,1.848361657291578
3,1.6326237921249256
3,1.6071593913749185
3,1.5532249250832555
6,2.1039607946043604
6,2.0574535743324764
6,2.0781901125555744
6,2.490692598279544
6,1.9231796269519612
6,2.0058560702559993
6,2.067797332658642
6,2.3473576883223
6,1.9665317296101534
6,2.0905276864306646
10,2.438840503070741
10,2.5853751940639795
10,2.866961834113416
10,2.732240318679577
10,2.938128091347357
10,2.8495488845569565
10,3.2768925218517597
10,2.2694986280431118
10,3.155158061539874
10,2.951939997875822
15,3.565862259341172
15,3.5771184264276323
15,3.628326949676941
15,3.6370631738237518
15,3.4654563572873935
15,3.4774058893113997
15,3.58723769228681
15,3.5778456603131295
15,3.788251898931052
15,3.6015774494183557
21,4.3644013302240445
21,4.194130550857365
21,4.3666318757930105
21,3.9816172576772457
21,4.190683828993991
21,4.061972270227163
21,4.005742595647408
21,4.047464945674157
21,4.043138998872769
21,4.5109027214045305
28,5.113550011595261
28,4.627813775498642
28,5.401712429540206
28,4.8263805110515525
28,5.166219563468504
28,4.99562636395079
28,4.748579240725448
28,4.688064864530202
28,5.1132574595094455
28,4.220027470567683
36,5.186430883941486
36,5.842786695989222
36,6.635401491726419
36,5.456007227608645
36,5.803958757427046
36,5.394733093660986
36,5.372157438686354
36,5.202729832894385
36,5.355541138730034
36,5.3248812941895265
45,5.2735863499610085
45,6.449662417731793
45,5.323994097458405
45,6.146644015003066
45,6.167004100434622
45,5.713169670825304
45,6.19479275472575
45,6.180948843970546
45,5.732546869274111
45,6.117841341468244
55,6.671821978109396
55,7.397474738026598
55,6.422123874356877
55,6.8445902962250065
55,6.742486485772565
55,6.9472025105750275
55,6.6911447526249415
55,6.549123897110637
55,5.153945702822914
55,6.996704438914128
66,7.135634045829177
66,7.051610737107862
66,6.71211462647695
66,6.951022408305929
66,7.191172393320465
66,7.057905260862035
66,7.733270620123116
66,7.085563573678714
66,6.991761889804537
66,7.686438229229555
78,7.887666583778487
78,7.678039480054102
78,7.730674136561114
78,8.02993665432644
78,6.977347027202589
78,8.08046671792474
78,7.376696880605403
78,8.270021108475236
78,7.8580761600417945
78,7.280648388067493
91,8.60908251410285
91,8.188677912020603
91,8.184650563832337
91,8.362243071006766
91,8.49903837519477
91,8.502549650755764
91,9.31567063297507
91,8.480809534309001
91,8.247169098081075
91,8.709036535149318
105,9.496140551832209
105,8.817895848292128
105,8.782385861798438
105,8.111740739567837
105,8.988264665733567
105,8.658615929659542
105,8.721891515773107
105,8.621128466953115
105,8.447693654518982
105,8.516629324298982
120,10.605323106059933
120,9.179642269131111
120,9.422613230823279
120,11.383971498289188
120,8.552914025149988
120,9.467733479454694
120,9.800972631083402
120,9.344455517807493
120,9.940140973931639
120,10.9458781312598
